last_name, first_name, date_of_birth, email
Gehard, Mike, 1987/05/02, mike@mikegehard.com
Dean, Jeff, 1920/11/23, jeff123@gmail.com
Durham, Kinsey, 1945/04/01, kinseyann01@hotmail.com
Kahn, Kirsten, 1995/09/30, kkbear@galvanize.com
Searls, Justin, 1981/01/08, searlsj@yahoo.com
Taggart, Jeffrey, 1988/05/20, jeff6565@jetaggart.com
Bourque, Lizzie, 1966/11/23, bourquelizzie@gmail.com
Dieters, Jim, 1933/06/04, jldieters@galvanize.com
Rando, Ryan, 2003/12/25, iloveskiing@vailresorts.com
Sanchez, Sarah, 2011/01/08, sarah@water.org
